tweets,id,date,source,likes,retweets,clean_tweet,sentiment_negative,sentiment_positive,sentiment_neutral,subjectivity
RT @KwabsMakaveli: Someone said Akuffo Addo Vs Covid-19 lol https://t.co/2AYxYYfsnv,1.24929253361766e+18,Sun Apr 12 11:05:25 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.0,7.0,USER_MENTION someone said akuffo addo vs covid19 lol URL,0.0,1.0590000000000002,0.741,0.7
RT @BigDaddyCee7: No Npp's party Card No Food at this time of a pandemic n Lockdown?.Akuffo Addo n his Officials are Liars,1.249284954497966e+18,Sun Apr 12 10:35:18 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,9.0,USER_MENTION npps party card food time pandemic n addo n officials liars,0.211,0.168,0.621,0.0
RT @pimpstrause: President Nana Akuffo Addo should give the food to Jehovah's witness to share cos they know every compound.,1.249282076823761e+18,Sun Apr 12 10:23:52 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,2.0,USER_MENTION president nana akuffo addo give food jehovahs witness share cos know every compound,0.0,0.145,0.855,0.0
"Ga Chief vows to vote Akuffo-Addo outif he fails to reclaim thier lands for them.
#KobbyKayViral #BreakingNews",1.2492778417595023e+18,Sun Apr 12 10:07:02 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,0.0,ga chief vows vote akuffoaddo outif fails reclaim thier lands kobbykayviral breakingnews,0.7030000000000001,0.0,0.797,0.3
RT @NanaappiahP: @NanaAnsah20 They can choose to share stones in Akuffo Addo's name. But what God has appointed is appointed,1.249277617930453e+18,Sun Apr 12 10:06:09 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,1.0,USER_MENTION USER_MENTION choose share stones akuffo addos name god appointed appointed,0.0,0.323,0.677,0.0
RT @BigDaddyCee7: No Npp's party Card No Food at this time of a pandemic n Lockdown?.Akuffo Addo n his Officials are Liars,1.249269379277226e+18,Sun Apr 12 09:33:24 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,9.0,USER_MENTION npps party card food time pandemic n addo n officials liars,0.211,0.168,0.621,0.0
"RT @BigDaddyCee7: #4More4NanaToLieToUs Akuffo Addo Stop Lying to Ghanaians.Eiii When is the Honest,Visionary n Father for all JDM Coming Ba…",1.249266422779392e+18,Sun Apr 12 09:21:40 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,6.0,USER_MENTION akuffo addo stop lying ghanaians.eii n father jdm coming,0.412,0.0,0.588,0.0
"RT @BigDaddyCee7: #4More4NanaToLieToUs Akuffo Addo Stop Lying to Ghanaians.Eiii When is the Honest,Visionary n Father for all JDM Coming Ba…",1.2492659634150769e+18,Sun Apr 12 09:19:50 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,6.0,USER_MENTION akuffo addo stop lying ghanaians.eii n father jdm coming,0.412,0.0,0.588,0.0
"RT @BigDaddyCee7: #4More4NanaToLieToUs Akuffo Addo Stop Lying to Ghanaians.Eiii When is the Honest,Visionary n Father for all JDM Coming Ba…",1.2492652572409856e+18,Sun Apr 12 09:17:02 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,6.0,USER_MENTION akuffo addo stop lying ghanaians.eii n father jdm coming,0.412,0.0,0.588,0.0
"RT @BigDaddyCee7: #4More4NanaToLieToUs Akuffo Addo Stop Lying to Ghanaians.Eiii When is the Honest,Visionary n Father for all JDM Coming Ba…",1.2492631673746104e+18,Sun Apr 12 09:08:43 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,6.0,USER_MENTION akuffo addo stop lying ghanaians.eii n father jdm coming,0.412,0.0,0.588,0.0
"RT @BigDaddyCee7: #4More4NanaToLieToUs Akuffo Addo Stop Lying to Ghanaians.Eiii When is the Honest,Visionary n Father for all JDM Coming Ba…",1.2492622827958886e+18,Sun Apr 12 09:05:13 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,6.0,USER_MENTION akuffo addo stop lying ghanaians.eii n father jdm coming,0.412,0.0,0.588,0.0
"RT @BigDaddyCee7: #4More4NanaToLieToUs Akuffo Addo Stop Lying to Ghanaians.Eiii When is the Honest,Visionary n Father for all JDM Coming Ba…",1.24926140107767e+18,Sun Apr 12 09:01:42 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,6.0,USER_MENTION akuffo addo stop lying ghanaians.eii n father jdm coming,0.412,0.0,0.588,0.0
"#4More4NanaToLieToUs Akuffo Addo Stop Lying to Ghanaians.Eiii When is the Honest,Visionary n Father for all JDM Com… https://t.co/lXemDo3t49",1.2492575411813458e+18,Sun Apr 12 08:46:22 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",16.0,6.0,akuffo addo stop lying ghanaians.eii n father jdm URL,0.444,0.0,0.556,0.0
"Akuffo Addo, your people still dey quench lights oooh",1.2492535553216594e+18,Sun Apr 12 08:30:32 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.0,0.0,akuffo addo people still dey quench lights ooh,0.0,0.0,1.0,0.0
RT @BigDaddyCee7: No Npp's party Card No Food at this time of a pandemic n Lockdown?.Akuffo Addo n his Officials are Liars,1.2492432086572728e+18,Sun Apr 12 07:49:25 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,9.0,USER_MENTION npps party card food time pandemic n addo n officials liars,0.211,0.168,0.621,0.0
@thebukky_smith @obi_Nwosu GEJ did 6% GDP growth if that was terrible then Ghana president nana akuffo addo with 6%… https://t.co/nO1Pl2P0fM,1.2492424421818696e+18,Sun Apr 12 07:46:22 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.0,0.0,USER_MENTION USER_MENTION gej gdp growth terrible ghana president nana akuffo addo URL,1.197,0.166,0.637,1.0
Ghana Wouldn’t Have Recorded A COVID-19 Case If Akuffo Addo Had Listened To Wisdom- Dag-Heward Mills… https://t.co/WD8l5K8Dcs,1.2492398056759296e+18,Sun Apr 12 07:35:54 +0000 2020,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0.0,0.0,ghana recorded covid19 case akuffo addo listened wisdom dagheward URL,0.0,0.274,0.726,0.0
RT @BigDaddyCee7: #4More4Nana Dis Virus outbreak in Ghana has really exposed the Lies n thinking Caps of Akuffo Addo n his Officials n Ghan…,1.249238061365461e+18,Sun Apr 12 07:28:58 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,9.0,USER_MENTION dis virus outbreak ghana really exposed lies n thinking caps akuffo addo n officials n,0.25,0.2,0.75,0.2
RT @Gordonn__: ah Akuffo Addo ein water you people dey take show we how God created men and women? ei.,1.2492363987518546e+18,Sun Apr 12 07:22:21 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,4.0,USER_MENTION ah akuffo addo ein water people dey take show god created men women ei,0.0,0.24,0.76,0.0
"Video: Ei! Ashanti Regional Minister rêacts to possible extênsion of Akuffo Addo's 2 weeks lóckdówn
https://t.co/TbrLjJGfA9",1.2492307892183818e+18,Sun Apr 12 07:00:04 +0000 2020,"<a href=""https://www.ghananewssummary.com"" rel=""nofollow"">GhanaNewsSummary</a>",0.0,0.0,video ei ashanti regional minister possible akuffo addos weeks URL,0.0,0.0,1.0,1.0
@3makuoSecretary @yebevanz Go sit with Akuffo Addo sef,1.2492295098885448e+18,Sun Apr 12 06:54:59 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,0.0,USER_MENTION USER_MENTION go sit akuffo addo sef,0.0,0.0,1.0,0.0
RT @iBossy_Gh: Lowkey you dey wan talk Akuffo Addo ein own some but enfa .😂,1.2492288514079908e+18,Sun Apr 12 06:52:22 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,8.0,USER_MENTION lowkey dey wan talk akuffo addo ein enfa,0.2,0.0,1.0,0.15000000000000002
@Pounds_CE @WilliamAdoasi @NAkufoAddo Shw3 😂😂😂 Akuffo-Addo u go Dey der saaa,1.2492286614982943e+18,Sun Apr 12 06:51:37 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,0.0,USER_MENTION USER_MENTION USER_MENTION shw3 akuffoaddo u go dey der saa,0.0,0.0,1.0,0.0
RT @Gordonn__: ah Akuffo Addo ein water you people dey take show we how God created men and women? ei.,1.249225951336112e+18,Sun Apr 12 06:40:50 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,4.0,USER_MENTION ah akuffo addo ein water people dey take show god created men women ei,0.0,0.24,0.76,0.0
RT @sikaena1: AKUFFO ADDO SHOULD GIVE DE FOOD TO JEHOVAH WITNESS TO SHARE.THEY KNOW EVERY CORNER IN GHANA.🤣🤣🤣🤣🤣🤣🤣🤣,1.2492238707600712e+18,Sun Apr 12 06:32:34 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,3.0,USER_MENTION akuffo addo give de food jehovah witness share.they know every corner,0.0,0.0,1.0,0.0
"FREE for All African Countries: AI enabled COVID-19 Citizen Alert, Contact Tracing and Contact Monitoring Solution.… https://t.co/yTicX3RLTr",1.24921963016772e+18,Sun Apr 12 06:15:43 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.0,0.0,free african countries ai enabled covid19 citizen alert contact tracing contact monitoring URL,0.0,0.533,0.667,0.4
