tweets,id,date,likes,retweets,clean_tweet,sentiment_negative,sentiment_positive,sentiment_neutral,subjectivity
The fact of the matter is that the entire John Dramani Mahama-chaperoned leadership of the National Democratic Congress (NDC) has... https://is.gd/NUWkXE,1233836109169352704,2020-02-29 19:27:06+00:00,0.0,0.0,fact matter entire john dramani mahamachaperoned leadership national democratic congress ndc URL,0.0,0.091,0.909,0.625
#GalamSONA RT SamYoun42: Arrival of H. E. John Dramani Mahama in Tuobodom today. #SpeakOut JDMahama BigDaddyCee7 SamToys_NPP NatTettehGhana alexkmould Dorsty1R ndccommbureau NDC20202 OfficialNDCGh officialNDCusa FelixKwakyeOfo1 Id_abdulrazak,1233671325778153473,2020-02-29 08:32:19+00:00,6.0,3.0,galamsona samyoun42 arrival h e john dramani mahama tuobodom today speakout jdmahama bigdaddycee7 samtoys_npp nattettehghana alexkmould dorsty1r ndccommbureau ndc20202 officialndcgh officialndcusa felixkwakyeofo1 id_abdulrazak,0.0,0.0,1.0,0.0
#GalamSONA #SONA2020 RT SamYoun42: Arrival of H. E. John Dramani Mahama in Tuobodom today. #SpeakOut JDMahama BigDaddyCee7 SamToys_NPP NatTettehGhana alexkmould Dorsty1R ndccommbureau NDC20202 OfficialNDCGh officialNDCusa FelixKwakyeOfo1 Id_abdulrazak,1233664010207268864,2020-02-29 08:03:15+00:00,1.0,0.0,galamsona sona2020 samyoun42 arrival h e john dramani mahama tuobodom today speakout jdmahama bigdaddycee7 samtoys_npp nattettehghana alexkmould dorsty1r ndccommbureau ndc20202 officialndcgh officialndcusa felixkwakyeofo1 id_abdulrazak,0.0,0.0,1.0,0.0
"That's the peace loving man I've been convincing people to vote for Him come 7th December 2020. He's not arrogant, not wicked, not insensitive, not corrupt but, respectful, humble & affable. His Excellency John Dramani Mahama is Tried &amp; Tested, very Trust worthy. Insha Allah ",1233505304744267784,2020-02-28 21:32:36+00:00,1.0,0.0,thats peace loving man ive convincing people vote come december hes arrogant wicked insensitive corrupt respectful humble affable excellency john dramani mahama tried tested trust worthy insha allah,0.172,0.7524761904761905,0.365,0.8642857142857144
The Flagbearer of the National Democratic Congress (NDC) John Dramani Mahama on Thursday joined the chiefs and people of Tuobodom and... ,1233453074473074689,2020-02-28 18:05:04+00:00,0.0,0.0,flagbearer national democratic congress ndc john dramani mahama thursday joined chiefs people tuobodom,0.0,0.0,1.0,0.0
https://mobile.ghanaweb.com/GhanaHomePage/NewsArchive/Akufo-Addo-has-failed-kick-him-out-Mahama-tells-Ghanaians-880927 Former president John Dramani Mahama has chided President Nana Akufo-Addo saying he has failed Ghanaians after lofty promises during the 2016 electioneering campaign hence Ghanaians needs to vote him out in the 2020 general elections.,1233452211914596358,2020-02-28 18:01:38+00:00,1.0,0.0,URL former president john dramani mahama chided president nana akufoaddo saying failed ghanaians lofty promises electioneering campaign hence ghanaians needs vote general elections,0.273,0.097,0.781,0.26666666666666666
Former President John Dramani Mahama mourns the Late Queen Mother of Tuobodom @OfficialNDCGh @ndccommbureau,1233387720677916673,2020-02-28 13:45:22+00:00,2.0,0.0,former president john dramani mahama mourns late queen mother tuobodom USER_MENTION USER_MENTION,0.386,0.0,0.764,0.3
Former president John Dramani Mahama has taken a dig at the governing New Patriotic Party and President Nana Akufo-Addo. ,1233362674685075456,2020-02-28 12:05:51+00:00,0.0,0.0,former president john dramani mahama taken dig governing new patriotic party president nana akufoaddo,0.0,0.24018181818181816,0.828,0.22727272727272727
Nana Addo has nothing more to offer Ghanaians – John Dramani Mahama https://ghreporter.com/nana-addo-has-nothing-more-to-offer-ghanaians-john-dramani-mahama/,1233355919569948673,2020-02-28 11:39:00+00:00,0.0,0.0,nana addo nothing offer ghanaians john dramani mahama URL,0.0,0.0,1.0,0.0
I completed school 2014...and as at that time the day students were schooling for free under the regime of Former president John Dramani Mahama.....Indeed is true that he started free SHS.....the issue is he weren't praises him self over this...because is his duty,1233318554256146434,2020-02-28 09:10:31+00:00,0.0,0.0,completed school time day students schooling free regime former president john dramani mahama indeed true started free shs issue werent praises self duty,0.089,0.5894999999999999,0.609,0.5625
